decision_time,direction,confidence,entry_btc,exit_btc,btc_up,correct,pnl,vol_regime,hour
2026-04-30T10:24:00+00:00,long,0.645,76008.21,76043.84,True,True,1.0,LOW,10
2026-04-30T11:09:00+00:00,short,0.645,76175.0,76180.38,True,False,-1.0,LOW,11
2026-04-30T11:24:00+00:00,long,0.77,76095.0,76102.63,True,True,1.0,LOW,11
2026-04-30T12:24:00+00:00,short,0.57,76358.19,76414.96,True,False,-1.0,LOW,12
2026-04-30T17:24:00+00:00,long,0.6033,76143.19,76239.27,True,True,1.0,LOW,17
2026-04-30T17:54:00+00:00,short,0.645,76247.92,76352.0,True,False,-1.0,LOW,17
2026-04-30T18:54:00+00:00,short,0.6033,76396.0,76354.2,False,True,1.0,LOW,18
2026-04-30T20:39:00+00:00,short,0.6033,76522.67,76524.09,True,False,-1.0,LOW,20
2026-04-30T21:09:00+00:00,long,0.645,76458.01,76461.85,True,True,1.0,LOW,21
2026-04-30T21:24:00+00:00,long,0.645,76384.51,76359.74,False,False,-1.0,LOW,21
2026-04-30T21:54:00+00:00,long,0.645,76248.5,76299.99,True,True,1.0,LOW,21
2026-04-30T22:24:00+00:00,short,0.6033,76404.96,76442.01,True,False,-1.0,LOW,22
2026-04-30T23:24:00+00:00,short,0.6033,76324.96,76350.12,True,False,-1.0,LOW,23
2026-05-01T00:09:00+00:00,short,0.6773,76506.43,76525.47,True,False,-1.0,LOW,0
2026-05-01T01:09:00+00:00,short,0.6773,76561.47,76617.07,True,False,-1.0,LOW,1
2026-05-01T01:39:00+00:00,short,0.6335,76585.37,76615.98,True,False,-1.0,LOW,1
2026-05-01T01:54:00+00:00,short,0.6773,76737.24,76688.01,False,True,1.0,LOW,1
2026-05-01T03:09:00+00:00,short,0.645,76662.35,76738.54,True,False,-1.0,LOW,3
2026-05-01T03:24:00+00:00,short,0.57,77321.34,77242.1,False,True,1.0,LOW,3
2026-05-01T05:09:00+00:00,short,0.645,77155.0,77141.25,False,True,1.0,LOW,5
2026-05-01T05:54:00+00:00,short,0.645,77167.06,77164.01,False,True,1.0,LOW,5
2026-05-01T09:54:00+00:00,long,0.616,77221.62,77241.24,True,True,1.0,LOW,9
2026-05-01T10:24:00+00:00,short,0.645,77408.78,77350.98,False,True,1.0,LOW,10
2026-05-01T10:39:00+00:00,long,0.77,77253.56,77251.0,False,False,-1.0,LOW,10
2026-05-01T11:24:00+00:00,short,0.6033,77420.57,77419.51,False,True,1.0,LOW,11
2026-05-01T12:24:00+00:00,short,0.57,77761.46,77810.56,True,False,-1.0,LOW,12
2026-05-01T12:54:00+00:00,long,0.77,77950.49,78045.07,True,True,1.0,LOW,12
2026-05-01T13:09:00+00:00,long,0.572,78200.0,78392.36,True,True,1.0,LOW,13
2026-05-01T13:54:00+00:00,short,0.627,78781.62,78710.39,False,True,1.0,LOW,13
2026-05-01T14:24:00+00:00,long,0.627,78388.67,78168.0,False,False,-1.0,LOW,14
2026-05-01T15:54:00+00:00,long,0.627,78360.01,78534.64,True,True,1.0,LOW,15
2026-05-01T16:24:00+00:00,long,0.57,78264.99,78306.85,True,True,1.0,LOW,16
2026-05-01T17:39:00+00:00,short,0.57,78512.46,78420.67,False,True,1.0,LOW,17
2026-05-01T19:24:00+00:00,long,0.6033,78401.49,78384.1,False,False,-1.0,LOW,19
2026-05-01T19:39:00+00:00,long,0.6033,78343.37,78340.66,False,False,-1.0,LOW,19
2026-05-01T20:24:00+00:00,long,0.6033,78165.26,78133.05,False,False,-1.0,LOW,20
2026-05-01T20:39:00+00:00,long,0.645,78069.04,78031.05,False,False,-1.0,LOW,20
2026-05-01T21:39:00+00:00,short,0.6033,78137.18,78130.67,False,True,1.0,LOW,21
2026-05-01T22:09:00+00:00,short,0.6033,78272.29,78325.3,True,False,-1.0,LOW,22
2026-05-01T22:24:00+00:00,short,0.645,78411.13,78353.42,False,True,1.0,LOW,22
2026-05-01T22:39:00+00:00,long,0.645,78255.0,78235.72,False,False,-1.0,LOW,22
2026-05-01T22:54:00+00:00,long,0.645,78158.22,78135.93,False,False,-1.0,LOW,22
2026-05-01T23:24:00+00:00,long,0.645,78077.0,78046.99,False,False,-1.0,LOW,23
2026-05-02T00:09:00+00:00,short,0.8085,78264.18,78200.1,False,True,1.0,LOW,0
2026-05-02T02:39:00+00:00,short,0.645,78365.4,78395.0,True,False,-1.0,LOW,2
2026-05-02T03:09:00+00:00,long,0.645,78295.31,78248.92,False,False,-1.0,LOW,3
2026-05-02T03:24:00+00:00,short,0.77,78347.81,78378.31,True,False,-1.0,LOW,3
2026-05-02T04:09:00+00:00,long,0.645,78276.13,78262.22,False,False,-1.0,LOW,4
2026-05-02T05:39:00+00:00,short,0.645,78203.1,78187.84,False,True,1.0,LOW,5
2026-05-02T06:39:00+00:00,short,0.616,78197.3,78236.54,True,False,-1.0,LOW,6
2026-05-02T10:24:00+00:00,long,0.645,78232.24,78232.24,False,False,-1.0,LOW,10
2026-05-02T11:09:00+00:00,long,0.6033,78195.83,78170.58,False,False,-1.0,LOW,11
2026-05-02T11:24:00+00:00,short,0.77,78227.86,78210.99,False,True,1.0,LOW,11
2026-05-02T11:39:00+00:00,long,0.645,78162.79,78122.08,False,False,-1.0,LOW,11
2026-05-02T12:24:00+00:00,short,0.645,78167.8,78250.58,True,False,-1.0,LOW,12
2026-05-02T13:09:00+00:00,short,0.6637,78311.6,78357.4,True,False,-1.0,LOW,13
2026-05-02T14:09:00+00:00,long,0.847,78329.08,78309.85,False,False,-1.0,LOW,14
2026-05-02T14:39:00+00:00,long,0.847,78387.05,78403.47,True,True,1.0,LOW,14
2026-05-02T15:24:00+00:00,long,0.6637,78383.68,78375.29,False,False,-1.0,LOW,15
2026-05-02T15:54:00+00:00,short,0.7095,78457.72,78465.05,True,False,-1.0,LOW,15
2026-05-02T17:09:00+00:00,long,0.6033,78425.0,78434.41,True,True,1.0,LOW,17
2026-05-02T17:54:00+00:00,long,0.6033,78398.03,78391.19,False,False,-1.0,LOW,17
2026-05-02T18:09:00+00:00,long,0.645,78338.12,78323.71,False,False,-1.0,LOW,18
2026-05-02T18:54:00+00:00,short,0.645,78485.32,78461.69,False,True,1.0,LOW,18
